                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.4072495836040663E-006   0.1533087914567918E+004   0.0000000000000000E+000                         2                         0                         9                         9
  0.1938647383291377E-006   0.1670833774170255E+004   0.0000000000000000E+000                         2                         0                        10                        10
  0.1035535344829774E-006   0.1806145265071252E+004   0.0000000000000000E+000                         2                         0                        11                        11
  0.6264900447776035E-007   0.1941652553668963E+004   0.0000000000000000E+000                         2                         0                        12                        12
  0.4042688057293314E-007   0.2077206405755889E+004   0.0000000000000000E+000                         2                         0                        13                        13
  0.2672426970958010E-007   0.2212862193910886E+004   0.0000000000000000E+000                         2                         0                        14                        14
  0.1872889586382484E-007   0.2347355447231506E+004   0.0000000000000000E+000                         2                         0                        15                        15
  0.1417672905252641E-007   0.2481085463566568E+004   0.0000000000000000E+000                         2                         0                        16                        16
  0.1160906805978797E-007   0.2615602026003892E+004   0.0000000000000000E+000                         2                         0                        17                        17
  0.9948149277302518E-008   0.2750691848351138E+004   0.0000000000000000E+000                         2                         0                        18                        18
  0.8668260713577856E-008   0.2886453745412093E+004   0.0000000000000000E+000                         2                         0                        19                        19
  0.7749910778255198E-008   0.3022323896777730E+004   0.0000000000000000E+000                         2                         0                        20                        20
  0.7105611001829422E-008   0.3158139922108628E+004   0.0000000000000000E+000                         2                         0                        21                        21
  0.6711652707014699E-008   0.3294479954026072E+004   0.0000000000000000E+000                         2                         0                        22                        22
  0.6480931931697321E-008   0.3431059624886213E+004   0.0000000000000000E+000                         2                         0                        23                        23
