                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2176179991512589E-006   0.1583394999730275E+004   0.0000000000000000E+000                        30                         0                         4                         4
  0.8882866565075028E-007   0.1771078086045671E+004   0.0000000000000000E+000                        30                         0                         5                         5
  0.4621149875437953E-007   0.1950672594496551E+004   0.0000000000000000E+000                        30                         0                         6                         6
  0.2719717317728630E-007   0.2126282954023385E+004   0.0000000000000000E+000                        30                         0                         7                         7
  0.1721360709626826E-007   0.2295819574991463E+004   0.0000000000000000E+000                        30                         0                         8                         8
  0.1225717615053104E-007   0.2459000683246751E+004   0.0000000000000000E+000                        30                         0                         9                         9
  0.9809836845967630E-008   0.2618727824728688E+004   0.0000000000000000E+000                        30                         0                        10                        10
  0.8334477181106844E-008   0.2776781620712763E+004   0.0000000000000000E+000                        30                         0                        11                        11
  0.7273848828112509E-008   0.2933127835364197E+004   0.0000000000000000E+000                        30                         0                        12                        12
  0.6541280031242487E-008   0.3087613806232332E+004   0.0000000000000000E+000                        30                         0                        13                        13
  0.6104064587301030E-008   0.3240792631740443E+004   0.0000000000000000E+000                        30                         0                        14                        14
  0.5874893887123835E-008   0.3393148603987863E+004   0.0000000000000000E+000                        30                         0                        15                        15
