                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2753537321089835E-006   0.1565493213270860E+004   0.0000000000000000E+000                        20                         0                         5                         5
  0.1217685777842609E-006   0.1730653937308326E+004   0.0000000000000000E+000                        20                         0                         6                         6
  0.6545416413049023E-007   0.1888308416291165E+004   0.0000000000000000E+000                        20                         0                         7                         7
  0.3973647578124092E-007   0.2043059222216095E+004   0.0000000000000000E+000                        20                         0                         8                         8
  0.2535181279114228E-007   0.2195149251425585E+004   0.0000000000000000E+000                        20                         0                         9                         9
  0.1712879852915115E-007   0.2343946369058600E+004   0.0000000000000000E+000                        20                         0                        10                        10
  0.1278698422254901E-007   0.2490593678453488E+004   0.0000000000000000E+000                        20                         0                        11                        11
  0.1045428066119555E-007   0.2636590572803532E+004   0.0000000000000000E+000                        20                         0                        12                        12
  0.8926223450106724E-008   0.2782582337229334E+004   0.0000000000000000E+000                        20                         0                        13                        13
  0.7796496397885660E-008   0.2928450536783899E+004   0.0000000000000000E+000                        20                         0                        14                        14
  0.7010765479469895E-008   0.3073576931150070E+004   0.0000000000000000E+000                        20                         0                        15                        15
  0.6501812758274787E-008   0.3218225927093039E+004   0.0000000000000000E+000                        20                         0                        16                        16
  0.6209783952896968E-008   0.3363002201961450E+004   0.0000000000000000E+000                        20                         0                        17                        17
