                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.1173428701399217E-006   0.1663006194905225E+004   0.0000000000000000E+000                        50                         0                         3                         3
  0.4757558111733019E-007   0.1884436094783058E+004   0.0000000000000000E+000                        50                         0                         4                         4
  0.2487038116509315E-007   0.2095956283432869E+004   0.0000000000000000E+000                        50                         0                         5                         5
  0.1440226829784418E-007   0.2298289259360517E+004   0.0000000000000000E+000                        50                         0                         6                         6
  0.9742948973257112E-008   0.2491568823323589E+004   0.0000000000000000E+000                        50                         0                         7                         7
  0.7665420889696446E-008   0.2681248496900233E+004   0.0000000000000000E+000                        50                         0                         8                         8
  0.6436433844494026E-008   0.2868786285493920E+004   0.0000000000000000E+000                        50                         0                         9                         9
  0.5623098859689045E-008   0.3053174196511467E+004   0.0000000000000000E+000                        50                         0                        10                        10
  0.5177411150689734E-008   0.3234643558376000E+004   0.0000000000000000E+000                        50                         0                        11                        11
  0.4986498903338117E-008   0.3413925783938477E+004   0.0000000000000000E+000                        50                         0                        12                        12
