                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2988149426911541E-006   0.1587838606542606E+004   0.0000000000000000E+000                         3                         0                         9                         9
  0.1475785259258063E-006   0.1725261380961503E+004   0.0000000000000000E+000                         3                         0                        10                        10
  0.8365819108779109E-007   0.1860558648759382E+004   0.0000000000000000E+000                         3                         0                        11                        11
  0.5193782236292425E-007   0.1996499750817205E+004   0.0000000000000000E+000                         3                         0                        12                        12
  0.3398203247175467E-007   0.2132751249289921E+004   0.0000000000000000E+000                         3                         0                        13                        13
  0.2285543169361888E-007   0.2268038810660465E+004   0.0000000000000000E+000                         3                         0                        14                        14
  0.1645178543232479E-007   0.2402643453910730E+004   0.0000000000000000E+000                         3                         0                        15                        15
  0.1294731746240069E-007   0.2536792222988174E+004   0.0000000000000000E+000                         3                         0                        16                        16
  0.1080389657074710E-007   0.2671827511210914E+004   0.0000000000000000E+000                         3                         0                        17                        17
  0.9354152608675779E-008   0.2807714305419337E+004   0.0000000000000000E+000                         3                         0                        18                        18
  0.8229246058973080E-008   0.2943685536138092E+004   0.0000000000000000E+000                         3                         0                        19                        19
  0.7416534805436558E-008   0.3079951313130353E+004   0.0000000000000000E+000                         3                         0                        20                        20
  0.6907363798190512E-008   0.3216203125067482E+004   0.0000000000000000E+000                         3                         0                        21                        21
  0.6579338006374593E-008   0.3352889577421475E+004   0.0000000000000000E+000                         3                         0                        22                        22
  0.6395997658715150E-008   0.3490056001870159E+004   0.0000000000000000E+000                         3                         0                        23                        23
