                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2810434504693519E-006   0.1565758508428808E+004   0.0000000000000000E+000                        20                         0                         5                         5
  0.1238450373930133E-006   0.1731295958135084E+004   0.0000000000000000E+000                        20                         0                         6                         6
  0.6639874490529115E-007   0.1889204610687705E+004   0.0000000000000000E+000                        20                         0                         7                         7
  0.4025759805417076E-007   0.2044152902801771E+004   0.0000000000000000E+000                        20                         0                         8                         8
  0.2564195612306015E-007   0.2196460228586067E+004   0.0000000000000000E+000                        20                         0                         9                         9
  0.1727059198591875E-007   0.2345407316261225E+004   0.0000000000000000E+000                        20                         0                        10                        10
  0.1284064885369400E-007   0.2492127526604820E+004   0.0000000000000000E+000                        20                         0                        11                        11
  0.1047371653951582E-007   0.2638203258112461E+004   0.0000000000000000E+000                        20                         0                        12                        12
  0.8938512637113822E-008   0.2784238710281722E+004   0.0000000000000000E+000                        20                         0                        13                        13
  0.7794749679225724E-008   0.2930155729813279E+004   0.0000000000000000E+000                        20                         0                        14                        14
  0.6994720168430993E-008   0.3075384647663177E+004   0.0000000000000000E+000                        20                         0                        15                        15
  0.6477732254073301E-008   0.3220056886909453E+004   0.0000000000000000E+000                        20                         0                        16                        16
  0.6175017198563597E-008   0.3364837321672765E+004   0.0000000000000000E+000                        20                         0                        17                        17
