                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3050113955984805E-006   0.1588446472486718E+004   0.0000000000000000E+000                         3                         0                         9                         9
  0.1501820994953188E-006   0.1725969756989125E+004   0.0000000000000000E+000                         3                         0                        10                        10
  0.8502708266433807E-007   0.1861365515510569E+004   0.0000000000000000E+000                         3                         0                        11                        11
  0.5273100327001477E-007   0.1997291168612404E+004   0.0000000000000000E+000                         3                         0                        12                        12
  0.3444487276250120E-007   0.2133668695113984E+004   0.0000000000000000E+000                         3                         0                        13                        13
  0.2313460050526862E-007   0.2269026556332628E+004   0.0000000000000000E+000                         3                         0                        14                        14
  0.1657515866513267E-007   0.2403670080106621E+004   0.0000000000000000E+000                         3                         0                        15                        15
  0.1300675145429284E-007   0.2537868452970033E+004   0.0000000000000000E+000                         3                         0                        16                        16
  0.1083657286023178E-007   0.2672844731887134E+004   0.0000000000000000E+000                         3                         0                        17                        17
  0.9367034533380205E-008   0.2808778620301069E+004   0.0000000000000000E+000                         3                         0                        18                        18
  0.8236717056288359E-008   0.2944781536782454E+004   0.0000000000000000E+000                         3                         0                        19                        19
  0.7403425023445847E-008   0.3081047818879387E+004   0.0000000000000000E+000                         3                         0                        20                        20
  0.6882941638334358E-008   0.3217350417567704E+004   0.0000000000000000E+000                         3                         0                        21                        21
  0.6548130190817386E-008   0.3353996752534915E+004   0.0000000000000000E+000                         3                         0                        22                        22
  0.6354667421039017E-008   0.3491192208537181E+004   0.0000000000000000E+000                         3                         0                        23                        23
