                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2229124858221656E-006   0.1583290476834348E+004   0.0000000000000000E+000                        30                         0                         4                         4
  0.9068817684076378E-007   0.1771088948565803E+004   0.0000000000000000E+000                        30                         0                         5                         5
  0.4703133503575168E-007   0.1950727083992725E+004   0.0000000000000000E+000                        30                         0                         6                         6
  0.2761468744474569E-007   0.2126505567426190E+004   0.0000000000000000E+000                        30                         0                         7                         7
  0.1739762414295675E-007   0.2296369293129447E+004   0.0000000000000000E+000                        30                         0                         8                         8
  0.1231880159330849E-007   0.2459866086514556E+004   0.0000000000000000E+000                        30                         0                         9                         9
  0.9828970335901709E-008   0.2619818913140547E+004   0.0000000000000000E+000                        30                         0                        10                        10
  0.8341564054625093E-008   0.2778048416827262E+004   0.0000000000000000E+000                        30                         0                        11                        11
  0.7269875916662288E-008   0.2934571822050871E+004   0.0000000000000000E+000                        30                         0                        12                        12
  0.6524395024384921E-008   0.3089208037835181E+004   0.0000000000000000E+000                        30                         0                        13                        13
  0.6075634617795437E-008   0.3242486350418714E+004   0.0000000000000000E+000                        30                         0                        14                        14
  0.5838470515543813E-008   0.3394945405448289E+004   0.0000000000000000E+000                        30                         0                        15                        15
