                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.1200526977486024E-006   0.1662982327771756E+004   0.0000000000000000E+000                        50                         0                         3                         3
  0.4848435777086723E-007   0.1884462231266166E+004   0.0000000000000000E+000                        50                         0                         4                         4
  0.2530243306588027E-007   0.2095968433811444E+004   0.0000000000000000E+000                        50                         0                         5                         5
  0.1460079070087919E-007   0.2298390160262422E+004   0.0000000000000000E+000                        50                         0                         6                         6
  0.9819314571411311E-008   0.2491633751598355E+004   0.0000000000000000E+000                        50                         0                         7                         7
  0.7699805864373442E-008   0.2681173715313201E+004   0.0000000000000000E+000                        50                         0                         8                         8
  0.6454893231968069E-008   0.2868642076126317E+004   0.0000000000000000E+000                        50                         0                         9                         9
  0.5623954936983923E-008   0.3053011702221295E+004   0.0000000000000000E+000                        50                         0                        10                        10
  0.5161049652781330E-008   0.3234454630317429E+004   0.0000000000000000E+000                        50                         0                        11                        11
  0.4957931872458535E-008   0.3413766058680832E+004   0.0000000000000000E+000                        50                         0                        12                        12
