                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2725134307972826E-006   0.1609935684812040E+004   0.0000000000000000E+000                         1                         0                         9                        10
  0.1366363106600304E-006   0.1746626777500968E+004   0.0000000000000000E+000                         1                         0                        10                        11
  0.7903467918039861E-007   0.1881782166099281E+004   0.0000000000000000E+000                         1                         0                        11                        12
  0.4960321456804627E-007   0.2017260465267999E+004   0.0000000000000000E+000                         1                         0                        12                        13
  0.3250362293545632E-007   0.2153296430042014E+004   0.0000000000000000E+000                         1                         0                        13                        14
  0.2205947029095099E-007   0.2288072810188332E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.1598681997662243E-007   0.2422120588218651E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.1269548234569141E-007   0.2556046512975296E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.1065687325223384E-007   0.2690625100788733E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.9227783992384405E-008   0.2826200823293293E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.8147721574579301E-008   0.2961786973235683E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.7346903004605320E-008   0.3097564385707829E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.6854966220009372E-008   0.3233520731677489E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.6542486794604300E-008   0.3369752104158257E+004   0.0000000000000000E+000                         1                         0                        22                        23
