                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2845991446357569E-006   0.1628816106151393E+004   0.0000000000000000E+000                         1                         0                         9                        10
  0.1420465193306202E-006   0.1767181633910307E+004   0.0000000000000000E+000                         1                         0                        10                        11
  0.8165445748789359E-007   0.1904020074676965E+004   0.0000000000000000E+000                         1                         0                        11                        12
  0.5102052631202462E-007   0.2041016942137246E+004   0.0000000000000000E+000                         1                         0                        12                        13
  0.3327539832333791E-007   0.2178632762887142E+004   0.0000000000000000E+000                         1                         0                        13                        14
  0.2249892529363448E-007   0.2315016733445730E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.1619519601417436E-007   0.2450586459052910E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.1276563666072761E-007   0.2586048208770749E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.1066024048173609E-007   0.2722052589624003E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.9185492479423709E-008   0.2859083065109400E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.8085718760392002E-008   0.2996166499613926E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.7263460561294636E-008   0.3133380702050917E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.6751776395274724E-008   0.3270833245945609E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.6428974636417995E-008   0.3408504805418620E+004   0.0000000000000000E+000                         1                         0                        22                        23
