                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2328493939129130E-006   0.1601732909180032E+004   0.0000000000000000E+000                        30                         0                         4                         4
  0.9420383165888522E-007   0.1791926351886457E+004   0.0000000000000000E+000                        30                         0                         5                         5
  0.4845412849440837E-007   0.1973718620413167E+004   0.0000000000000000E+000                        30                         0                         6                         6
  0.2826981026213724E-007   0.2151608809649304E+004   0.0000000000000000E+000                        30                         0                         7                         7
  0.1769154942269496E-007   0.2323687097818330E+004   0.0000000000000000E+000                        30                         0                         8                         8
  0.1241864743054388E-007   0.2489364907349503E+004   0.0000000000000000E+000                        30                         0                         9                         9
  0.9832398789181520E-008   0.2651334104595433E+004   0.0000000000000000E+000                        30                         0                        10                        10
  0.8300611021427630E-008   0.2811442170044860E+004   0.0000000000000000E+000                        30                         0                        11                        11
  0.7205292000146285E-008   0.2969793144359382E+004   0.0000000000000000E+000                        30                         0                        12                        12
  0.6442344456896219E-008   0.3126220816066981E+004   0.0000000000000000E+000                        30                         0                        13                        13
  0.5977713945954596E-008   0.3281235165233796E+004   0.0000000000000000E+000                        30                         0                        14                        14
  0.5726508158314790E-008   0.3435419446919010E+004   0.0000000000000000E+000                        30                         0                        15                        15
