                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.4039126684129313E-006   0.1564422273165512E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.1930531572723435E-006   0.1703922880739612E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1041784958094217E-006   0.1840597407299702E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.6291969278949236E-007   0.1977539602705702E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4065583850464293E-007   0.2114621071239047E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2683552393115854E-007   0.2251399139695999E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.1872852220055121E-007   0.2387293652340628E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1417328137748429E-007   0.2522217557065221E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1153647565457882E-007   0.2657883369186833E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.9861575074028011E-008   0.2794287779153082E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.8569974195563336E-008   0.2931118434896332E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.7623710253072282E-008   0.3068269221486693E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.6980221338221007E-008   0.3205274386056332E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.6561209372117909E-008   0.3342751682487458E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.6322806382672101E-008   0.3480635050084700E+004   0.0000000000000000E+000                         0                         0                        24                        24
