                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2928241547672797E-006   0.1584240142200596E+004   0.0000000000000000E+000                        20                         0                         5                         5
  0.1283883662736104E-006   0.1752122274077884E+004   0.0000000000000000E+000                        20                         0                         6                         6
  0.6837064288317437E-007   0.1912137043609006E+004   0.0000000000000000E+000                        20                         0                         7                         7
  0.4122273373632611E-007   0.2068998205511664E+004   0.0000000000000000E+000                        20                         0                         8                         8
  0.2614662168965081E-007   0.2223176356082308E+004   0.0000000000000000E+000                        20                         0                         9                         9
  0.1752074487932200E-007   0.2373935715527923E+004   0.0000000000000000E+000                        20                         0                        10                        10
  0.1293116437268295E-007   0.2522376494847502E+004   0.0000000000000000E+000                        20                         0                        11                        11
  0.1047521087142943E-007   0.2670129638341600E+004   0.0000000000000000E+000                        20                         0                        12                        12
  0.8900254444275001E-008   0.2817776041524654E+004   0.0000000000000000E+000                        20                         0                        13                        13
  0.7730527244469908E-008   0.2965285483681510E+004   0.0000000000000000E+000                        20                         0                        14                        14
  0.6910302919449502E-008   0.3112162745658849E+004   0.0000000000000000E+000                        20                         0                        15                        15
  0.6380288746021860E-008   0.3258429114546687E+004   0.0000000000000000E+000                        20                         0                        16                        16
  0.6062182256093968E-008   0.3404771546014463E+004   0.0000000000000000E+000                        20                         0                        17                        17
