                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3187491254620818E-006   0.1606996204195662E+004   0.0000000000000000E+000                         3                         0                         9                         9
  0.1562206046043308E-006   0.1746250339750090E+004   0.0000000000000000E+000                         3                         0                        10                        10
  0.8795449194233605E-007   0.1883343624714114E+004   0.0000000000000000E+000                         3                         0                        11                        11
  0.5425834362527501E-007   0.2020799895197032E+004   0.0000000000000000E+000                         3                         0                        12                        12
  0.3527836811230483E-007   0.2158794899953582E+004   0.0000000000000000E+000                         3                         0                        13                        13
  0.2361426604085416E-007   0.2295746691607242E+004   0.0000000000000000E+000                         3                         0                        14                        14
  0.1680183847086722E-007   0.2431952855131075E+004   0.0000000000000000E+000                         3                         0                        15                        15
  0.1309191722112127E-007   0.2567708481669094E+004   0.0000000000000000E+000                         3                         0                        16                        16
  0.1084504422450921E-007   0.2704113423624725E+004   0.0000000000000000E+000                         3                         0                        17                        17
  0.9327339861069000E-008   0.2841532888526404E+004   0.0000000000000000E+000                         3                         0                        18                        18
  0.8178015643226309E-008   0.2979022655183304E+004   0.0000000000000000E+000                         3                         0                        19                        19
  0.7320947772038724E-008   0.3116744698992803E+004   0.0000000000000000E+000                         3                         0                        20                        20
  0.6782708878861878E-008   0.3254557006191117E+004   0.0000000000000000E+000                         3                         0                        21                        21
  0.6435643889455075E-008   0.3392638841621932E+004   0.0000000000000000E+000                         3                         0                        22                        22
