                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.1250704950102556E-006   0.1682614008866769E+004   0.0000000000000000E+000                        50                         0                         3                         3
  0.5008597554426790E-007   0.1906849848196377E+004   0.0000000000000000E+000                        50                         0                         4                         4
  0.2594980017794370E-007   0.2120722460963884E+004   0.0000000000000000E+000                        50                         0                         5                         5
  0.1488090522545810E-007   0.2325491265605122E+004   0.0000000000000000E+000                        50                         0                         6                         6
  0.9913192155364409E-008   0.2520939015900644E+004   0.0000000000000000E+000                        50                         0                         7                         7
  0.7705655821721363E-008   0.2712462217614163E+004   0.0000000000000000E+000                        50                         0                         8                         8
  0.6422653032387869E-008   0.2901873388313793E+004   0.0000000000000000E+000                        50                         0                         9                         9
  0.5568388442025232E-008   0.3088206309006233E+004   0.0000000000000000E+000                        50                         0                        10                        10
  0.5084424891957425E-008   0.3271596645298928E+004   0.0000000000000000E+000                        50                         0                        11                        11
  0.4863371182520942E-008   0.3452879886120959E+004   0.0000000000000000E+000                        50                         0                        12                        12
