                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2473756378898999E-006   0.1582507373199384E+004   0.0000000000000000E+000                        30                         0                         4                         4
  0.9930411546470399E-007   0.1770776762923412E+004   0.0000000000000000E+000                        30                         0                         5                         5
  0.5083415886384646E-007   0.1950496755118507E+004   0.0000000000000000E+000                        30                         0                         6                         6
  0.2960876714564579E-007   0.2126794155743231E+004   0.0000000000000000E+000                        30                         0                         7                         7
  0.1832556750671728E-007   0.2297893510259803E+004   0.0000000000000000E+000                        30                         0                         8                         8
  0.1264843102989093E-007   0.2462683016732083E+004   0.0000000000000000E+000                        30                         0                         9                         9
  0.9933433768427417E-008   0.2623633075695128E+004   0.0000000000000000E+000                        30                         0                        10                        10
  0.8388857511741969E-008   0.2782674672744142E+004   0.0000000000000000E+000                        30                         0                        11                        11
  0.7275310792655132E-008   0.2939979934078573E+004   0.0000000000000000E+000                        30                         0                        12                        12
  0.6472824725656830E-008   0.3095314176673002E+004   0.0000000000000000E+000                        30                         0                        13                        13
  0.5973764145438017E-008   0.3249060393846428E+004   0.0000000000000000E+000                        30                         0                        14                        14
  0.5700504578880400E-008   0.3401909192135757E+004   0.0000000000000000E+000                        30                         0                        15                        15
