                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3332775383082636E-006   0.1590786924121333E+004   0.0000000000000000E+000                         3                         0                         9                         9
  0.1623028686010366E-006   0.1728596829391866E+004   0.0000000000000000E+000                         3                         0                        10                        10
  0.9115062626039591E-007   0.1864457106084782E+004   0.0000000000000000E+000                         3                         0                        11                        11
  0.5641727869096071E-007   0.2000311961828055E+004   0.0000000000000000E+000                         3                         0                        12                        12
  0.3659817860587907E-007   0.2137074723775852E+004   0.0000000000000000E+000                         3                         0                        13                        13
  0.2445076571402977E-007   0.2272873300851861E+004   0.0000000000000000E+000                         3                         0                        14                        14
  0.1720970423431803E-007   0.2407593568692965E+004   0.0000000000000000E+000                         3                         0                        15                        15
  0.1328729774244819E-007   0.2542002259568909E+004   0.0000000000000000E+000                         3                         0                        16                        16
  0.1100926632296808E-007   0.2676785761370179E+004   0.0000000000000000E+000                         3                         0                        17                        17
  0.9449583384054873E-008   0.2812718332014366E+004   0.0000000000000000E+000                         3                         0                        18                        18
  0.8286473451435620E-008   0.2948959600431226E+004   0.0000000000000000E+000                         3                         0                        19                        19
  0.7386308241001835E-008   0.3085162885041806E+004   0.0000000000000000E+000                         3                         0                        20                        20
  0.6794486478185188E-008   0.3221622803807126E+004   0.0000000000000000E+000                         3                         0                        21                        21
  0.6436529960426638E-008   0.3358201318536591E+004   0.0000000000000000E+000                         3                         0                        22                        22
  0.6201375586062710E-008   0.3495322569770360E+004   0.0000000000000000E+000                         3                         0                        23                        23
