                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.1325784318639908E-006   0.1662546833214388E+004   0.0000000000000000E+000                        50                         0                         3                         3
  0.5265640821804584E-007   0.1884245595722407E+004   0.0000000000000000E+000                        50                         0                         4                         4
  0.2730327087641722E-007   0.2095613219396772E+004   0.0000000000000000E+000                        50                         0                         5                         5
  0.1555129066100967E-007   0.2298416029630625E+004   0.0000000000000000E+000                        50                         0                         6                         6
  0.1019313296180999E-007   0.2491573113739917E+004   0.0000000000000000E+000                        50                         0                         7                         7
  0.7867733109675794E-008   0.2680467343314417E+004   0.0000000000000000E+000                        50                         0                         8                         8
  0.6554312365340911E-008   0.2867552239387538E+004   0.0000000000000000E+000                        50                         0                         9                         9
  0.5652149325614476E-008   0.3051802199339371E+004   0.0000000000000000E+000                        50                         0                        10                        10
  0.5114131333847891E-008   0.3233052210003062E+004   0.0000000000000000E+000                        50                         0                        11                        11
  0.4858231625237425E-008   0.3412275186846819E+004   0.0000000000000000E+000                        50                         0                        12                        12
