                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2978863336231182E-006   0.1611998791582668E+004   0.0000000000000000E+000                         1                         0                         9                        10
  0.1479780834452012E-006   0.1748840101178425E+004   0.0000000000000000E+000                         1                         0                        10                        11
  0.8467111524674531E-007   0.1884436835476946E+004   0.0000000000000000E+000                         1                         0                        11                        12
  0.5315350370582249E-007   0.2019947057122719E+004   0.0000000000000000E+000                         1                         0                        12                        13
  0.3457033459882353E-007   0.2156251857064169E+004   0.0000000000000000E+000                         1                         0                        13                        14
  0.2326937806342624E-007   0.2291585291407248E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.1659179736347787E-007   0.2425655391608224E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.1294823263620346E-007   0.2559720914830806E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.1082342979018053E-007   0.2694214484464708E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.9313707604416952E-008   0.2829721773363833E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.8185524377968030E-008   0.2965606977393219E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.7327825473797353E-008   0.3101336627962418E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.6759473608378148E-008   0.3237385444738301E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.6426328637859754E-008   0.3373627174258389E+004   0.0000000000000000E+000                         1                         0                        22                        23
