                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.4237123231187582E-006   0.1547965401375874E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2010468114316146E-006   0.1686301220781854E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1084219439021258E-006   0.1821641135000275E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.6535467860953415E-007   0.1957002836772162E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4226835112913097E-007   0.2092951730555946E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.2789988744839941E-007   0.2228389110980811E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.1923547214608563E-007   0.2363044560590954E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1444971583967051E-007   0.2496636851049226E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1170558834324787E-007   0.2630613298966262E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.9991930477913732E-008   0.2765671796644423E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.8702842067379108E-008   0.2901078164115150E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.7695949515537112E-008   0.3036833590576643E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.7015715184679726E-008   0.3172549542728268E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.6566293444286182E-008   0.3308423341626982E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.6300116100314101E-008   0.3444908961373069E+004   0.0000000000000000E+000                         0                         0                        24                        24
