                                                                                                                                                                                                                                                                
                        1
               freq_units
UHZ                      
                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.4547327469317293E-006   0.1535326178032453E+004   0.0000000000000000E+000                         2                         0                         9                         9
  0.2141768739643264E-006   0.1673957741342850E+004   0.0000000000000000E+000                         2                         0                        10                        10
  0.1137562292982182E-006   0.1809529794573758E+004   0.0000000000000000E+000                         2                         0                        11                        11
  0.6794714624544419E-007   0.1945145808675420E+004   0.0000000000000000E+000                         2                         0                        12                        12
  0.4378492923528094E-007   0.2081220161507012E+004   0.0000000000000000E+000                         2                         0                        13                        13
  0.2877288472331246E-007   0.2217047959541323E+004   0.0000000000000000E+000                         2                         0                        14                        14
  0.1973761357335525E-007   0.2352120299644579E+004   0.0000000000000000E+000                         2                         0                        15                        15
  0.1470186966821792E-007   0.2485992643950520E+004   0.0000000000000000E+000                         2                         0                        16                        16
  0.1183809349834097E-007   0.2620275238409195E+004   0.0000000000000000E+000                         2                         0                        17                        17
  0.1008314633074298E-007   0.2755552290606006E+004   0.0000000000000000E+000                         2                         0                        18                        18
  0.8763167143537481E-008   0.2891244295089332E+004   0.0000000000000000E+000                         2                         0                        19                        19
  0.7739804737567379E-008   0.3027337138069695E+004   0.0000000000000000E+000                         2                         0                        20                        20
  0.7039467609711068E-008   0.3163314353496061E+004   0.0000000000000000E+000                         2                         0                        21                        21
  0.6573469437585898E-008   0.3299481097814773E+004   0.0000000000000000E+000                         2                         0                        22                        22
  0.6302830896849497E-008   0.3436217383524461E+004   0.0000000000000000E+000                         2                         0                        23                        23
